iter	Passed	Remaining
0	154	154560
1	191	95802
2	238	79151
3	268	66763
4	330	65733
5	345	57243
6	391	55472
7	436	54156
8	467	51520
9	514	50914
10	545	49074
11	561	46226
12	593	45042
13	640	45144
14	687	45162
15	733	45127
16	780	45156
17	811	44284
18	843	43552
19	858	42085
20	889	41473
21	903	40181
22	935	39727
23	965	39247
24	1013	39514
25	1045	39158
26	1076	38790
27	1136	39453
28	1167	39102
29	1198	38754
30	1245	38923
31	1292	39085
32	1322	38744
33	1367	38861
34	1414	38991
35	1445	38699
36	1476	38441
37	1508	38176
38	1536	37872
39	1566	37606
40	1611	37695
41	1644	37517
42	1691	37646
43	1723	37439
44	1754	37226
45	1814	37639
46	1877	38068
47	1908	37853
48	1969	38221
49	2001	38035
50	2017	37538
51	2079	37914
52	2126	37998
53	2173	38077
54	2218	38124
55	2234	37671
56	2266	37489
57	2311	37536
58	2343	37382
59	2375	37215
60	2424	37314
61	2483	37577
62	2545	37861
63	2593	37936
64	2626	37775
65	2657	37614
66	2689	37447
67	2719	37275
68	2765	37312
69	2810	37345
70	2858	37408
71	2873	37035
72	2888	36681
73	2919	36532
74	2980	36755
75	3030	36839
76	3060	36685
77	3137	37082
78	3198	37294
79	3259	37485
80	3290	37333
81	3306	37012
82	3352	37038
83	3399	37072
84	3461	37265
85	3507	37281
86	3553	37293
87	3600	37313
88	3614	37000
89	3676	37170
90	3723	37189
91	3768	37193
92	3814	37200
93	3845	37060
94	3876	36930
95	3907	36798
96	3955	36819
97	4003	36852
98	4020	36594
99	4031	36282
100	4081	36328
101	4111	36194
102	4174	36351
103	4236	36495
104	4282	36500
105	4329	36511
106	4361	36397
107	4380	36175
108	4408	36037
109	4440	35925
110	4486	35931
111	4517	35819
112	4563	35823
113	4610	35833
114	4642	35726
115	4688	35732
116	4721	35629
117	4766	35630
118	4798	35527
119	4830	35420
120	4875	35415
121	4922	35427
122	4954	35322
123	4983	35206
124	5029	35203
125	5045	34999
126	5091	34998
127	5123	34906
128	5133	34663
129	5154	34494
130	5203	34514
131	5262	34605
132	5271	34363
133	5339	34508
134	5372	34421
135	5402	34320
136	5448	34322
137	5480	34234
138	5512	34144
139	5543	34051
140	5588	34047
141	5620	33962
142	5651	33872
143	5683	33784
144	5714	33697
145	5759	33688
146	5805	33687
147	5837	33604
148	5868	33518
149	5899	33428
150	5974	33592
151	6021	33593
152	6053	33511
153	6100	33513
154	6131	33425
155	6161	33332
156	6192	33248
157	6238	33246
158	6287	33254
159	6334	33253
160	6380	33248
161	6412	33169
162	6457	33158
163	6504	33155
164	6552	33157
165	6584	33079
166	6644	33141
167	6690	33135
168	6737	33127
169	6769	33050
170	6816	33045
171	6863	33039
172	6910	33032
173	6955	33020
174	7001	33009
175	7033	32929
176	7048	32774
177	7079	32692
178	7125	32681
179	7155	32597
180	7202	32588
181	7249	32583
182	7280	32501
183	7327	32494
184	7357	32411
185	7403	32398
186	7451	32397
187	7514	32457
188	7576	32509
189	7607	32433
190	7652	32413
191	7684	32340
192	7716	32266
193	7732	32124
194	7747	31984
195	7779	31909
196	7824	31894
197	7873	31891
198	7904	31814
199	7950	31800
200	8026	31905
201	8056	31825
202	8118	31875
203	8150	31803
204	8196	31784
205	8227	31710
206	8258	31636
207	8321	31683
208	8399	31788
209	8446	31773
210	8478	31704
211	8509	31629
212	8524	31496
213	8587	31539
214	8650	31584
215	8697	31569
216	8743	31548
217	8790	31534
218	8820	31455
219	8851	31382
220	8882	31311
221	8930	31296
222	8960	31221
223	8976	31098
224	9007	31024
225	9038	30953
226	9084	30934
227	9133	30925
228	9148	30801
229	9195	30784
230	9256	30814
231	9317	30843
232	9348	30773
233	9396	30759
234	9424	30680
235	9440	30560
236	9455	30442
237	9487	30374
238	9549	30407
239	9596	30387
240	9643	30370
241	9673	30300
242	9704	30231
243	9735	30165
244	9798	30194
245	9831	30132
246	9861	30062
247	9892	29996
248	9923	29928
249	9954	29862
250	10016	29888
251	10047	29824
252	10094	29804
253	10126	29740
254	10172	29719
255	10218	29697
256	10276	29711
257	10326	29699
258	10372	29674
259	10418	29654
260	10480	29675
261	10511	29609
262	10543	29547
263	10573	29477
264	10603	29410
265	10619	29302
266	10680	29320
267	10727	29301
268	10759	29238
269	10791	29176
270	10822	29113
271	10851	29044
272	10884	28984
273	10947	29006
274	10963	28903
275	10994	28840
276	11009	28736
277	11056	28715
278	11086	28651
279	11117	28586
280	11148	28525
281	11195	28503
282	11243	28487
283	11275	28427
284	11307	28366
285	11353	28342
286	11400	28323
287	11446	28299
288	11494	28278
289	11541	28256
290	11586	28230
291	11648	28242
292	11694	28218
293	11726	28158
294	11757	28097
295	11803	28073
296	11850	28049
297	11896	28024
298	11911	27926
299	11942	27865
300	11989	27842
301	12019	27779
302	12049	27717
303	12094	27690
304	12141	27667
305	12188	27643
306	12235	27618
307	12281	27594
308	12328	27568
309	12359	27508
310	12407	27487
311	12453	27460
312	12461	27351
313	12531	27377
314	12552	27295
315	12623	27324
316	12653	27263
317	12686	27208
318	12695	27102
319	12765	27127
320	12830	27138
321	12890	27141
322	12967	27178
323	13028	27182
324	13075	27156
325	13152	27192
326	13214	27197
327	13277	27202
328	13336	27200
329	13398	27202
330	13461	27207
